Agent Sai Srinivasa Athreya	2019	Swaroop RSJ	Agent Sai Srinivasa Athreya is a brilliant, underrated detective from Nellore who runs an agency called FBI which sees no business. He gets more than what he asked for when a case happens to fall right into his lap out of nowhere.	['Naveen Polishetty', 'Shruti Sharma', 'Suhas', 'Krishneswara Rao', 'Shredha Rajagopalan', 'Darbha Appaji Ambarisha', 'Ram Dutt', 'Divya Vineeth']	['Swadharm Entertainment']	['India']	[]	['Telugu']	['comedy', 'crime', 'mystery']	['Thrillers and murder mysteries', 'mystery, murder, detective, murderer or clues', 'bollywood, songs, climax, emotion or goosebumps', 'cops, murder, thriller, detective or crime', 'film noir, femme fatale, 1940s, thriller or intriguing', 'robbery, criminal, crime, heist or cops']
Waltair Veerayya	2023	Bobby Kolli	A notorious smuggler Waltair Veerayya is hired by a CI Seethapathi, reaches Malaysia with the ostensible mission of kidnapping a drug mafia leader named Solomon, who escaped India after wreaking havoc on the RAW agents and local policemen. Veerayya manages to pummel Solomon, who is fiercely protected by his ruthless gang-lord brother Kaala. Tables are turned, when Veerayya reveals that he shares a turbulent past with Kaala & an ACP Vikram Sagar who is hell-bent on ending his smuggling activities.	['Chiranjeevi', 'Shruti Haasan', 'Ravi Teja', 'Catherine Tresa', 'Bobby Simha', 'Prakash Raj', 'Rajendra Prasad', 'Vennela Kishore', 'Saptagiri', 'Pradeep Ram Singh Rawat', 'Srinivasa Reddy', 'Mukhtar Khan', 'Sathyaraj', 'Shakalaka Shankar', 'Urvashi Rautela', 'BVS Ravi', 'Kalpalatha', 'Mime Gopi', 'Nassar', 'Praveen', 'Vincent Asokan', 'Chammak Chandra', 'Rajendran', 'Manobala', 'Jhansi', 'Bharani Shankar', 'Subbaraju', 'Jayaprakash', 'Prabhas Sreenu', 'Raghu Babu', 'Kalyani Natarajan', 'B. S. Avinash', 'John Vijay', 'Anish Kuruvilla', 'Vinay Varma', 'Inturi Vasu', 'Mathew Varghese']	['Mythri Movie Makers']	['India']	[]	['Telugu']	['action', 'drama']	[]
Mahanati	2018	Nag Ashwin	Mahanati depicts the life and career of one of Telugu cinema's greatest and most iconic starlets, the first Indian female super star, Savitri.	['Keerthy Suresh', 'Dulquer Salmaan', 'Samantha Ruth Prabhu', 'Vijay Deverakonda', 'Prakash Raj', 'Shalini Pandey', 'Mohan Babu', 'Radha Krishna Jagarlamudi', 'Mahesh Achanta', 'Tharun Bhascker Dhaassyam', 'Malavika Nair', 'Sai Madhav Burra', 'Sandeep Reddy Vanga', 'Srinivas Avasarala', 'Naga Chaitanya Akkineni', 'Tulasi', 'Bhanupriya', 'Naresh', 'Manobala', 'Bindu Chandramouli', 'Vamsee Chaganti']	['Swapna Cinema', 'Vyjayanthi Movies']	['India']	[]	['Telugu']	['drama']	['Song and dance', 'Moving relationship stories', 'artists, biography, musician, songs or emotional', 'singing, musical, songs, tune or lyrics', 'bollywood, songs, climax, emotion or goosebumps', 'band, songs, concert, musician or lyrics', 'surfing, teenager, friendship, adolescents or kids']
Jathi Ratnalu	2021	Anudeep	Srikanth and his friends Sekhar and Ravi head to the city in pursuit of some izzat. Once there, they realise that maybe they were better off back home in Jogipet.	['Naveen Polishetty', 'Priyadarshi Pullikonda', 'Rahul Ramakrishna', 'Faria Abdullah', 'Brahmanandam', 'Murali Sharma', 'Brahmaji', 'Tanikella Bharani', 'Vennela Kishore', 'Keerthy Suresh', 'Vijay Deverakonda', 'Giri Babu', 'Mahesh Achanta', 'Naresh', 'Subhalekha Sudhakar', 'Divya Sripada', 'Anudeep']	['Swapna Cinema']	['India']	[]	['Telugu']	['drama', 'comedy']	['Crude humor and satire', 'Relationship comedy', 'Song and dance', 'funny, comedy, humor, jokes or hilarious', 'comedy, funny, hilarious, humor or jokes', 'musical, songs, singing, comedy or funny', 'comedy, funny, humor, hilarious or jokes', 'comedy, horror, funny, humor or spooky']
HIT: The First Case	2020	Sailesh Kolanu	Vikram Rudraraju is a 30-year-old cop working for the Telangana State Police. While Vikram is battling with his own traumatic past, the stakes get high when a girl called Preethi mysteriously disappears in Hyderabad and Vikram has to solve the case at any cost.	['Vishwak Sen', 'Ruhani Sharma', 'Brahmaji', 'Murali Sharma', 'Bhanuchander', 'Hari Teja', 'Ravi Varma', 'Kalpalatha', 'Mrudhula Basker', 'Chaitanya Sagiraju', 'Maganti Srinath']	['Wall Poster Cinema']	['India']	[]	['Telugu']	['thriller', 'action', 'drama']	['Thrillers and murder mysteries', 'High speed and special ops', 'cops, murder, thriller, detective or crime', 'mystery, murder, detective, murderer or clues', 'film noir, femme fatale, 1940s, thriller or intriguing', 'robbery, criminal, crime, heist or cops', 'terrorism, thriller, gripping, intense or political']
Mayabazar	1957	Kadri Venkata Reddy	Balarama promises Subhadra to get his daughter married to her son. However, when he loses his kingdom to the Kauravas, Balarama has no choice but to break his promise.	['N.T. Rama Rao', 'S. V. Ranga Rao', 'Savitri', 'Nageshwara Rao Akkineni', 'Gummadi', 'Mukkamala', 'C S R Anjaneyulu', 'Relangi Venkata Ramaiah', 'Rushyendramani', 'Nagabhushanam', 'Mikkilineni', 'Rajanala Nageswara Rao', 'Suryakantham', 'Ramana Reddy', 'Chadalavada', 'Allu Ramalingaiah', 'Vangara Venkata Subbaiah', 'Madhavapeddi Satyam', 'V Balakrishna', 'Sachu', 'Guru Gopinath', 'Mukku Raju', 'Chaya Devi']	['Vijaya Vahini Studios']	['India']	[]	['Telugu']	['drama', 'fantasy', 'comedy']	[]
Sarkaru Vaari Paata	2022	Parasuram Petla	Mahesh, a money lender, is swindled by a gambling addict called Kalaavathi in the US. While he comes to India to collect his debt, he decides to stay back and do his bit for the country's financial health.	['Mahesh Babu', 'Keerthy Suresh', 'Samuthirakani', 'Vennela Kishore', 'Subbaraju', 'Nadhiya', 'Posani Krishna Murali', 'Sowmya Menon', 'Tanikella Bharani', 'Ilez Badurgov', 'Brahmaji', 'Satyam Rajesh', 'Mahesh Manjrekar', 'Ajay', 'Ravi Prakash', 'Duy Beck', 'Nitika Rozenko', 'Nagendra Babu', 'Prabhas Sreenu', 'Sanjay Swaroop', 'Anish Kuruvilla', 'Bhupal Raju']	['Mythri Movie Makers', '14 Reels Plus', 'G. Mahesh Babu Entertainment Pvt. Ltd']	['India']	[]	['Telugu']	['drama', 'action']	['Song and dance', 'bollywood, songs, climax, emotion or goosebumps', 'western, cowboy, outlaw, wild or frontier', 'musical, songs, singing, comedy or funny', 'martial arts, kung fu, choreography, cool or action-packed', 'action, villain, humor, funny or silly']
Cinema Bandi	2021	Praveen Kandregula	A struggling rickshaw driver’s life takes a rollicking turn when he comes upon an expensive camera and decides to make a film with his fellow villagers.	['Sirivennela Yanamandhala', 'Sandeep Varanasi', 'Trishara', 'Sindhu Sreenivasa Murthy', 'Munivenkatapa', 'Uma Yg', 'Vikas Vasistha', 'Rag Mayur']	['D2R Films']	['India']	[]	['Telugu']	['comedy', 'drama']	[]
Sagara Sangamam	1983	K. Viswanath	A young multi-talented dancer is poverty stricken and as a principled person he does not want to compromise on his ethics for commercial dancing. A wealthy woman recognizes this talent and provides him with an opportunity to showcase his art.	['Kamal Haasan', 'Jaya Prada', 'Sarath Babu', 'S.P. Sailaja', 'Sakshi Ranga Rao', 'Janaki', 'Chakri Toleti', 'Potti Prasad', 'S. K. Misro', 'Manju Bhargavi', 'Geetha', 'Mohan Sharma']	['Poornodaya Movie Creations']	['India']	[]	['Telugu']	['drama']	[]
Liger	2022	Puri Jagannadh	The journey of Liger, from Karimnagar to Mumbai, from a nobody to a competitor, in his search for recognition while navigating his weaknesses, relationships, and love life.	['Vijay Deverakonda', 'Ananya Pandey', 'Ramya Krishnan', 'Ronit Roy', 'Vishu Reddy', 'Makrand Deshpande', 'Ali Basha', 'Getup Srinu', 'Chunky Pandey', 'Mike Tyson', 'Shri Tej']	['Dharma Productions', 'Puri Connects']	['India']	[]	['Telugu']	['action', 'romance']	['Song and dance', 'Underdogs and coming of age', 'Epic heroes', 'bollywood, songs, climax, emotion or goosebumps', 'boxing, fighting, champion, sports or fighter', 'martial arts, kung fu, choreography, cool or action-packed', 'sports, team, coach, athlete or football', 'dancing, choreography, songs, tune or musical']
